# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'task-clock'
# Event count (approx.): 720934583250
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::has_internal_overlap(c10::TensorImpl*)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::impl::has_names(c10::TensorImpl const*)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::infer_size_dimvector(c10::ArrayRef<long>, c10::ArrayRef<long>)@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::meta::resize_reduction(at::impl::MetaBase&, at::Tensor const&, c10::OptionalArrayRef<long>, bool, c10::ScalarType, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::meta::structured_gather::meta(at::Tensor const&, long, at::Tensor const&, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::meta::structured_scatter_src::meta(at::Tensor const&, long, at::Tensor const&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::namedinference::propagate_names(at::Tensor const&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::namedinference::propagate_names(c10::TensorImpl*, c10::TensorImpl*)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::namedinference::propagate_names_if_nonempty(at::Tensor const&, c10::ArrayRef<at::Dimname>, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::(anonymous namespace)::fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::DispatchStubImpl::get_call_ptr(c10::DeviceType, void*, void*, void*)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::alias(at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::copy_(at::Tensor&, at::Tensor const&, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::empty_like(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::get_operator_enum(std::basic_string_view<char, std::char_traits<char> >, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::index_select_out_cpu_(at::Tensor const&, long, at::Tensor const&, at::Tensor&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::is_pinned(at::Tensor const&, std::optional<c10::Device>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::lift_fresh(at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::linear(at::Tensor const&, at::Tensor const&, std::optional<at::Tensor> const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::ones_like(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::reshape_symint(at::Tensor const&, c10::ArrayRef<c10::SymInt>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::resolve_conj(at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::select_symint(at::Tensor const&, long, c10::SymInt)@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::structured_mul_out::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::unbind(at::Tensor const&, long)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::zero_numel_check_dims(at::Tensor const&, long, char const*)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::zeros_symint(c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::Dispatcher::callBoxed(c10::OperatorHandle const&, std::vector<c10::IValue, std::allocator<c10::IValue> >*) const [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::InferenceMode::is_enabled()@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::OperatorHandle::~OperatorHandle()
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::SmallVectorImpl<long>::operator=(c10::SmallVectorImpl<long>&&) [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::SymInt::SymInt(c10::SymInt const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::SymInt::operator*(c10::SymInt const&) const
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::TensorImpl::empty_tensor_restride(c10::MemoryFormat)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::TensorImpl::incref_pyobject() const@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::TensorImpl::set_sizes_and_strides(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<long>) [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::ExcludeDispatchKeyGuard::~ExcludeDispatchKeyGuard()@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::NoOpDeviceGuardImpl<(c10::DeviceType)0>::getDevice() const
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CPU__as_strided>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt> > >, at::Tensor (at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::SymInt>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CompositeExplicitAutograd___to_copy>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat> > >, at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>), &at::(anonymous namespace)::empty_strided>, at::Tensor, c10::guts::typelist::typelist<c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool> > >, at::Tensor (c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (at::Tensor&, at::Tensor const&, bool), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CompositeExplicitAutograd__copy_>, at::Tensor&, c10::guts::typelist::typelist<at::Tensor&, at::Tensor const&, bool> >, at::Tensor& (at::Tensor&, at::Tensor const&, bool)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor& (c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool), &torch::ADInplaceOrView::copy_>, at::Tensor&, c10::guts::typelist::typelist<c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool> >, at::Tensor& (c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor&, at::Tensor const&, bool)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::retain_()
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] int* at::TensorBase::mutable_data_ptr<int>() const
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] int* at::TensorBase::mutable_data_ptr<int>() const@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] memcmp@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] operator delete[](void*)@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] std::_Hashtable<std::pair<at::Float32Backend, at::Float32Op>, std::pair<std::pair<at::Float32Backend, at::Float32Op> const, at::Float32Precision>, std::allocator<std::pair<std::pair<at::Float32Backend, at::Float32Op> const, at::Float32Precision> >, std::__detail::_Select1st, std::equal_to<std::pair<at::Float32Backend, at::Float32Op> >, c10::hash<std::pair<at::Float32Backend, at::Float32Op> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::pair<at::Float32Backend, at::Float32Op> const&) const [clone .part.0] [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] std::condition_variable::notify_all()@plt
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::AutogradMeta::AutogradMeta(c10::TensorImpl*, bool, torch::autograd::Edge)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::~DifferentiableViewMeta()
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::ViewInfo::~ViewInfo()
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::impl::get_autograd_meta(at::TensorBase const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] void at::native::argmax_argmin_impl<at::native::argmax_stub_DECLARE_DISPATCH_type>(at::Tensor const&, std::optional<long>, bool, at::Tensor const&, at::native::argmax_stub_DECLARE_DISPATCH_type&) [clone .constprop.0] [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] void at::native::checkInBoundsForStorage<long>(c10::ArrayRef<long>, c10::ArrayRef<long>, long, caffe2::TypeMeta const&, c10::Storage const&)
     0.00%  VLLM::EngineCor  libtorch_cpu.so                                    [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::cpu_kernel<at::native::(anonymous namespace)::lt_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::lt_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}&&, long)::{lambda(char**, long const*, long)#1}>(at::native::AVX2::cpu_kernel<at::native::(anonymous namespace)::lt_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::lt_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}&&, long)::{lambda(char**, long const*, long)#1} const&)::{lambda(char**, long const*, long, long)#1}>(long, char**, long const*, long, long)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] OffsetCalculator<3, unsigned int, false> make_offset_calculator<3, false>(at::TensorIteratorBase const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] __cudaLaunchKernel@plt
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured__convert_indices_from_csr_to_coo_structured_cuda_out::maybe_get_output(long)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured_scatter_add_inplace::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions, c10::ArrayRef<at::Dimname>)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::wrapper_CUDA_div__Tensor(at::Tensor&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::wrapper_CUDA_index_Tensor(at::Tensor const&, c10::List<std::optional<at::Tensor> > const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::wrapper_CUDA_sub_Tensor(at::Tensor const&, at::Tensor const&, c10::Scalar const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::CachingHostAllocatorInterface<at::cuda::(anonymous namespace)::CUDACachingHostAllocatorImpl, &at::cuda::(anonymous namespace)::raw_local_deleter>::record_event(void*, void*, c10::Stream)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::Tensor at::native::(anonymous namespace)::host_softmax<at::native::(anonymous namespace)::SoftMaxForwardEpilogue, at::native::(anonymous namespace)::SoftMaxForwardWithMulEpilogue, false, false>(at::Tensor const&, long, bool, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::TensorBase::contiguous(c10::MemoryFormat) const
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::TensorIteratorBase::TensorIteratorBase(at::TensorIteratorBase const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::CUDAGraph::replay()
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::getCurrentCUDABlasHandle()
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::get_p2p_access(signed char, signed char)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::setWorkspaceForHandle(cublasContext*, c10::cuda::CUDAStream)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::detail::empty_cuda(c10::ArrayRef<long>, c10::ScalarType, std::optional<c10::Device>, std::optional<c10::MemoryFormat>)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::detail::empty_cuda(c10::ArrayRef<long>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::detail::empty_strided_cuda(c10::ArrayRef<long>, c10::ArrayRef<long>, c10::ScalarType, std::optional<c10::Device>)@plt
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::ReduceConfig at::native::setReduceConfig<cuda::std::__4::pair<float, long>, float, 4, 4>(at::TensorIterator const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::compare_eq_ne_kernel(at::TensorIteratorBase&, at::native::(anonymous namespace)::EqOpType)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::compare_kernel_with_scalars(at::TensorIteratorBase&, at::native::(anonymous namespace)::OpType)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::cublasCommonArgs::~cublasCommonArgs()
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::empty_strided_cuda(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::restride_dim(at::Tensor const&, long, c10::ArrayRef<long>)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::scatter_cuda_kernel(at::Tensor const&, long, at::Tensor const&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::structured_mm_out_cuda::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::structured_softmax_cuda_out::impl(at::Tensor const&, long, bool, at::Tensor const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] c10::TensorOptions::device() const
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] c10::cuda::c10_cuda_check_implementation(int, char const*, char const*, unsigned int, bool)@plt
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, at::Tensor const&, c10::Scalar const&), &at::(anonymous namespace)::wrapper_CUDA_add_Tensor>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, at::Tensor const&, c10::Scalar const&> >, at::Tensor (at::Tensor const&, at::Tensor const&, c10::Scalar const&)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, at::Tensor const&, c10::Scalar const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::reset_not_null_(c10::TensorImpl*)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] cudaGetLastError@plt
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::cuda::blas::gemm_internal_cublas_bfloat16_helper<c10::BFloat16>(char, char, long, long, long, float, c10::BFloat16 const*, long, c10::BFloat16 const*, long, float, c10::BFloat16*, long)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_index_kernel<__nv_dl_wrapper_t<__nv_dl_tag<void (*)(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>), &(void at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)), 1u>> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, __nv_dl_wrapper_t<__nv_dl_tag<void (*)(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>), &(void at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)), 1u>> const&, bool) [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel<at::native::CUDAFunctorOnOther_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctorOnOther_add<float> const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel<at::native::CUDAFunctorOnSelf_add<int> >(at::TensorIteratorBase&, at::native::CUDAFunctorOnSelf_add<int> const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<__nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (*)(at::TensorIteratorBase&), &at::native::direct_copy_kernel_cuda, 16u>, float (float)> >(at::TensorIteratorBase&, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (*)(at::TensorIteratorBase&), &at::native::direct_copy_kernel_cuda, 16u>, float (float)> const&) [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<long> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<long> const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<long> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<long> const&)
     0.00%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<float, float, float, unsigned int, std::plus<float> >::Policy1000, float const*, float*, at_cuda_detail::cub::ScanTileState<float, true>, std::plus<float>, at_cuda_detail::cub::NullType, unsigned int, float, false, at_cuda_detail::cub::NullType>(float const*, float*, at_cuda_detail::cub::ScanTileState<float, true>, int, std::plus<float>, at_cuda_detail::cub::NullType, unsigned int)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] PyEval_RestoreThread@plt
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] PyThread_tss_set@plt
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THCPEvent_pynew(_typeobject*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THPEvent_record(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THPVariable_Check(_object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THPVariable_Wrap(at::TensorBase&&)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THPVariable_get_shape(THPVariable*, void*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] THPVariable_is_cuda(THPVariable*, void*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] _object* wrap_tuple_fn<_object* (**)(_object*, _object*), &(anonymous namespace)::mp_subscript, _object*, _object*>(_object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] at::_ops::resolve_conj::call(at::Tensor const&)@plt
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] at::_ops::softmax_int::call(at::Tensor const&, long, std::optional<c10::ScalarType>)@plt
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] bool pybind11::detail::pyobject_caster<pybind11::object>::load<pybind11::object, 0>(pybind11::handle, bool) [clone .isra.0]
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] bool pybind11::detail::type_caster_generic::load_impl<pybind11::detail::type_caster_generic>(pybind11::handle, bool)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] c10::SymInt::SymInt(c10::SymInt const&)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] c10::TensorImpl::decref_pyobject() const@plt
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] c10::TensorImpl::layout() const
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::cpp_function::initialize<torch::jit::initJITBindings(_object*)::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#2}::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const::{lambda(pybind11::args const&, pybind11::kwargs const&)#1}, pybind11::object, pybind11::args const&, pybind11::kwargs const&, pybind11::name, pybind11::doc>(torch::jit::initJITBindings(_object*)::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#2}::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const::{lambda(pybind11::args const&, pybind11::kwargs const&)#1}&&, pybind11::object (*)(pybind11::args const&, pybind11::kwargs const&), pybind11::name const&, pybind11::doc const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN(pybind11::detail::function_call&)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::detail::clear_instance(_object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::detail::instance::get_value_and_holder(pybind11::detail::type_info const*, bool) [clone .constprop.0]
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::detail::type_caster<bool, void>::load(pybind11::handle, bool)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::PythonArgs::scalar_slow(_object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_from_numpy(_object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_gather(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_gt(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_long(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_lt(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_pin_memory(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_rsub(_object*, _object*, _object*)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::UnpackedSlice::~UnpackedSlice()
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::make_variable(at::Tensor, bool, bool)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::getTHPDtype(c10::ScalarType)
     0.00%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::get_dynint_class()
